id,lon,lat
E02002536,445583.305,524174.111
E02002537,446778.119,524255.507999999
E02002534,461357.951,515117.478
E02002535,446118.0,525454.529999999
E02002532,461054.231,516173.954
E02002533,460441.191,515184.603
E02002530,467899.719,516467.248
E02002538,445937.454,522569.752
E02002539,441759.053,523672.172
E02005740,427329.441,582644.808
E02005741,425331.989,582201.773
E02001736,422514.659,564177.838
E02001737,428869.475,563713.486
E02001734,421344.084,564317.721000001
E02001735,428388.498,564274.707
E02001732,420084.45,564832.502
E02001733,427576.671,564481.323999999
E02001730,425858.44,564819.242000001
E02001731,424140.314,564469.058
E02001738,434068.006,573343.957
E02001739,426612.011,573575.836999999
E02004354,418498.897,527022.363
E02004355,420427.526,528011.835999999
E02004352,422080.546,529107.391000001
E02004353,420442.708,528901.255999999
E02004350,416826.771,535569.880000001
E02004351,420331.433,534520.438999999
E02002506,450128.453,517680.085999999
E02002507,448735.928,517181.581
E02002504,448473.431,518208.824999999
E02002505,451803.158,517689.697000001
E02002502,452964.279,518333.413000001
E02002503,447700.92,518213.191
E02002500,449202.225,518620.085999999
E02002501,450197.059,518636.649
E02002508,448106.378,516516.964
E02002509,450864.445,516440.789999999
E02001706,427017.199,556705.598999999
E02001787,433189.183,562214.952
E02001707,427773.275,554985.865
E02001786,436670.754,563026.710000001
E02001704,426511.342,558841.801999999
E02001785,440495.775,562787.676000001
E02001705,412503.45,558337.498
E02001784,433057.615,563315.393999999
E02001702,427565.321,559451.743000001
E02001783,435577.872,563278.619999999
E02001703,416346.024,558942.836999999
E02001782,431475.236,563408.243000001
E02001700,422020.599,560048.649
E02001781,434449.476,563495.017000001
E02001701,425715.152,559544.752
E02001780,438132.922,564011.130999999
E02001708,421655.417,569621.486
E02001789,437802.176,561979.228
E02001709,424053.806,569868.085000001
E02001788,434440.438,561992.812000001
E02006842,425931.9,561870.668
E02006841,426030.368,562803.055
E02004326,439217.42,540962.047
E02004327,444167.664,541058.291999999
E02004324,442536.546,543902.248
E02004325,443076.326,541559.99
E02004322,441093.883,548809.915999999
E02004323,439002.32,546666.828
E02004320,440808.664,549686.772
E02004321,442616.997,549046.378
E02004328,442011.443,541202.686000001
E02004329,442102.953,539718.488
E02002516,459920.146,524109.342
E02002517,458877.615,523916.169
E02002514,450851.905,514259.717
E02002515,460476.169,524913.407
E02002512,452144.761,514651.089
E02002513,449030.41,514426.284
E02002510,448012.972,515694.067
E02002518,461373.392,523612.964
E02002519,460051.857,522853.124
E02005726,414395.479,570542.157
E02005727,385506.633,582881.467
E02005725,416250.199,572769.93
E02005722,417133.465,585762.116
E02005723,419995.382,585603.249
E02005720,426003.3,593797.142000001
E02005721,422202.404,587326.002
E02001797,430269.929,558562.946
E02001796,440176.078,558511.158
E02001714,426798.328,567573.088
E02001795,438870.327,558608.15
E02001715,422301.841,567394.801999999
E02001794,437241.028,559198.105
E02001712,424999.129,567987.482999999
E02001793,435359.42,559475.046
E02001713,423733.111,567807.374
E02001792,440157.496,559653.052999999
E02001710,422666.777,568788.011
E02001791,439406.94,559901.946
E02005728,370418.717,564054.331
E02001711,420113.314,568083.99
E02001790,435931.437,561411.671
E02005729,408773.774,563988.194
E02001718,421014.171,566932.640000001
E02001799,430646.606,557893.934
E02001719,427138.323,566655.960999999
E02001798,435281.676,558478.736
E02006909,448492.068,532003.937999999
E02004336,429605.989,532951.551999999
E02004337,425003.49,533068.532
E02004334,436832.581,533800.103
E02004335,427032.446,533908.993000001
E02004332,440322.636,537584.388
E02004333,425862.978,534639.753
E02004330,445699.811,539413.744999999
E02004331,437326.35,538739.866
E02004338,428960.38,529977.824999999
E02004339,435464.573,529207.446
E02005736,429031.264,587057.921
E02005737,426811.097,587111.862
E02005734,430824.569,587878.381999999
E02005735,427937.713,587489.819
E02005733,385904.736,563207.993000001
E02005730,393244.177,563877.197000001
E02005731,409646.034,562929.535
E02005738,427992.268,586465.431
E02005739,426070.747,585422.982999999
E02006910,454139.758,519212.677999999
